,,,,,,,,,
ORF,SGD,PLATE,TAP LOCATION,,,DISH PLATE LOCATION ,CONTROLS ADDED ,Checking by PCR,
YDR150W,NUM1,1GS5,A1,3GS7,F1,1,,,
YKL101W,HSL1,1GS5,A10,3GS7,F9,10,,,
YDR326C,YDR326C,1GS5,A11,3GS7,F10,11,,,
YMR280C,CAT8,1GS5,A12,3GS7,F11,12,,,
YBR275C,RIF1,1GS5,A2,3GS7,F2,2,,,
YFL033C,RIM15,1GS5,A3,3GS7,F3,3,,,
YDL140C,RPO21,1GS5,A4,3GS7,F4,4,,,
YCL014W,BUD3,1GS5,A5,3GS7,F5,5,,,
YGR098C,ESP1,1GS5,A6,,,6,,,
YOR191W,RIS1,1GS5,A7,3GS7,F6,7,,,
YHR186C,KOG1,1GS5,A8,3GS7,F7,8,,,
YHR164C,DNA2,1GS5,A9,3GS7,F8,9,,,
YDR443C,SSN2,1GS5,B1,,,13,,,
YIL112W,HOS4,1GS5,B10,3GS7,G8,22,,,
YOL100W,PKH2,1GS5,B11,3GS7,G9,23,,,
YNL132W,KRE33,1GS5,B12,3GS7,G10,24,,,
YGL131C,SNT2,1GS5,B2,3GS7,F12,14,,,
YJR127C,ZMS1,1GS5,B3,3GS7,G1,15,,,B8
YDR227W,SIR4,1GS5,B4,3GS7,G2,16,,,B9
YHR080C,YHR080C,1GS5,B5,3GS7,G3,17,,,B10
YDR216W,ADR1,1GS5,B6,3GS7,G4,18,,,B11
YNL106C,INP52,1GS5,B7,3GS7,G5,19,,,B12
YGR097W,ASK10,1GS5,B8,3GS7,G6,20,,,C3
YJR035W,RAD26,1GS5,B9,3GS7,G7,21,,,C4
YLR187W,YLR187W,1GS5,C1,,,25,,,C5
YJL056C,ZAP1,1GS5,C10,3GS7,H6,34,,,C6
YMR053C,STB2,1GS5,C11,3GS7,H7,35,,,C7
YAL056W,GPB2,1GS5,C12,3GS7,H8,36,,,C8
YOR363C,PIP2,1GS5,C2,,,26,,,C9
