Plate 1GS2,,,,Day for transformation April 20th,
ORF,SGD,Plate,Well,Plate 1GS2,Controls added 
YGL195W,GCN1,1GS2,A1,1,
YGL206C,CHC1,1GS2,A10,10,
YDR127W,ARO1,1GS2,A11,11,
YGL173C,KEM1,1GS2,A12,12,
YNR016C,ACC1,1GS2,A2,2,
YJL130C,WT7,1GS2,A3,3,WT7
YDL171C,GLT1,1GS2,A4,4,
YKL182W,FAS1,1GS2,A5,5,
YPL082C,MOT1,1GS2,A6,6,
YJL109C,UTP10,1GS2,A7,7,
YKL014C,YKL014C,1GS2,A8,8,
YMR229C,RRP5,1GS2,A9,9,
YGL150C,INO80,1GS2,B1,13,
YLR384C,IKI3,1GS2,B10,22,
YLR398C,SKI2,1GS2,B11,23,
YMR012W,CLU1,1GS2,B12,24,
YKL010C,UFD4,1GS2,B2,14,
YOR116C,RPO31,1GS2,B3,15,
YEL022W,GEA2,1GS2,B4,16,
YGR116W,SPT6,1GS2,B5,17,
YPR189W,SKI3,1GS2,B6,18,
YNL088W,TOP2,1GS2,B7,19,
YMR259C,YMR259C,1GS2,B8,20,
YBR115C,LYS2,1GS2,B9,21,
YMR076C,PDS5,1GS2,C1,25,
YJL092W,HPR5,1GS2,C10,34,
YLR410W,VIP1,1GS2,C11,35,
YAL019W,FUN30,1GS2,C12,36,
YJL197W,RAD534,1GS2,C2,26,RAD534
YDR097C,MSH6,1GS2,C3,27,
YPL012W,RRP12,1GS2,C4,28,
YFL008W,SMC1,1GS2,C5,29,
YPR010C,RPA135,1GS2,C6,30,
YPL226W,NEW1,1GS2,C7,31,
YOR086C,YOR086C,1GS2,C8,32,
YBR218C,PYC2,1GS2,C9,33,
YER110C,KAP123,1GS2,D1,37,
YJR132W,NMD5,1GS2,D10,46,
YPL009C,YPL009C,1GS2,D11,47,
YOL098C,YOL098C,1GS2,D12,48,
YNL163C,RIA1,1GS2,D2,38,
YDL215C,GDH2,1GS2,D3,39,
YMR308C,PSE1,1GS2,D4,40,
YGR218W,CRM1,1GS2,D5,41,
YOL145C,CTR9,1GS2,D6,42,
YBL076C,ILS1,1GS2,D7,43,
YJL098W,SAP185,1GS2,D8,44,
YMR261C,TPS3,1GS2,D9,45,
YGL207W,SPT16,1GS2,E1,49,
YNL118C,DCP2,1GS2,E10,58,
YMR125W,STO1,1GS2,E11,59,
YBR079C,RPG1,1GS2,E12,60,
YMR189W,GCV2,1GS2,E2,50,
YDR060W,MAK21,1GS2,E3,51,
YGL201C,MCM6,1GS2,E4,52,
YAL035W,FUN12,1GS2,E5,53,
YDR430C,CYM1,1GS2,E6,54,
YBR084W,MIS1,1GS2,E7,55,
YEL032W,MCM3,1GS2,E8,56,
YMR080C,NAM7,1GS2,E9,57,
YIL137C,YIL137C,1GS2,F1,61,
YPL126W,NAN1,1GS2,F10,70,
YLR386W,VAC14,1GS2,F11,71,
YNL112W,DBP2,1GS2,F12,72,
YIL075C,RPN2,1GS2,F2,62,
YDR395W,PWP2,1GS2,F3,63,
YLR129W,PWP2,1GS2,F4,64,
YCR057C,PWP2,1GS2,F5,65,
YLL026W,HSP104,1GS2,F6,66,
YFR040W,SAP155,1GS2,F7,67,
YNL313C,YNL313C,1GS2,F8,68,
YDR074W,TPS2,1GS2,F9,69,
YNL201C,PSY2,1GS2,G1,73,
YDL122W,WT8,1GS2,G10,82,WT8
YOR168W,GLN4,1GS2,G11,83,
YPL190C,NAB3,1GS2,G12,84,
YDL040C,NAT1,1GS2,G2,74,
YPL084W,BRO1,1GS2,G3,75,
YMR031C,YMR031C,1GS2,G4,76,
YPR029C,APL4,1GS2,G5,77,
YLR222C,UTP13,1GS2,G6,78,
YGR130C,YGR130C,1GS2,G7,79,
YLR095C,IOC2,1GS2,G8,80,
YPL207W,RAD535,1GS2,G9,81,RAD535
YOL076W,MDM20,1GS2,H1,85,
YHR197W,RIX1,1GS2,H10,94,
YLR069C,MEF1,1GS2,H11,95,
YNL258C,DSL1,1GS2,H12,96,
YGR200C,ELP2,1GS2,H2,86,
YDR324C,UTP4,1GS2,H3,87,
YJL033W,HCA4,1GS2,H4,88,
YLL054C,YLL054C,1GS2,H5,89,
YGL120C,PRP43,1GS2,H6,90,
YGR245C,SDA1,1GS2,H7,91,
YNL247W,YNL247W,1GS2,H8,92,
YLR114C,YLR114C,1GS2,H9,93,
