,,,,,,,,,,,,
ORF,SGD,PLATE,TAP LOCATION,,,DISH PLATE LOCATION ,CONTROLS ADDED ,,,,,
YBR017C,KAP104,2GS3,A1,,,1,,,,,,
YLR382C,RAD531,2GS3,A10,1GS7,F2,10,RAD531,,,,,
YPL249C,GYP5,2GS3,A11,,,11,,,,,,
YLR357W,RSC2,2GS3,A12,,,12,,,,,,
YDR103W,STE5,2GS3,A2,,,2,,,,,,
YGL049C,TIF4632,2GS3,A3,,,3,,,,,,
YML065W,ORC1,2GS3,A4,,,4,,,,,,
YER151C,UBP3,2GS3,A5,,,5,,,,,,
YGL141W,HUL5,2GS3,A6,,,6,,2GS3,A10,NAM2,1GS7,F2
YLR336C,SGD1,2GS3,A7,,,7,,,B10,RFC1,1GS7,F3
YML093W,ECO11,2GS3,A8,,,8,ECO11,,C12,PFK26,1GS7,F4
YOR371C,GPB1,2GS3,A9,,,9,,,D10,HSP78,1GS7,F5
YLR045C,WT2,2GS3,B1,,,13,WT2,,D12,AMD1,1GS7,F6
YOR217W,RNR21,2GS3,B10,1GS7,F3,22,RNR21,,F12,YKR027W,1GS7,F7
YPR105C,COG4,2GS3,B11,,,23,,,G12,YPR090W,1GS7,F8
YDR416W,SYF1,2GS3,B12,,,24,,,H6,YBR238C,1GS7,F9
YPR112C,MRD1,2GS3,B2,,,14,,,H11,YKR018C,1GS7,F10
YDR303C,RSC3,2GS3,B3,,,15,,,H12,YMR237W,1GS7,F11
YBR281C,YBR281C,2GS3,B4,,,16,,,,,,
YML034W,SRC1,2GS3,B5,,,17,,,,,,
YCR030C,SYP1,2GS3,B6,,,18,,,,,,
YBL023C,MCM2,2GS3,B7,,,19,,,,,,
YNL256W,FOL1,2GS3,B8,,,20,,,,,,
YMR165C,SMP2,2GS3,B9,,,21,,,,,,
YLR115W,CFT2,2GS3,C1,,,25,,,,,,
YIL038C,NOT3,2GS3,C10,,,34,,,,,,
YNL085W,MKT1,2GS3,C11,,,35,,,,,,
YIL107C,CLB21,2GS3,C12,1GS7,F4,36,CLB21,,,,,
YIL143C,SSL2,2GS3,C2,,,26,,,,,,
YJL204C,RCY1,2GS3,C3,,,27,,,,,,
YKL022C,RAD532,2GS3,C4,,,28,RAD532,,,,,
YNL041C,COG6,2GS3,C5,,,29,,,,,,
YKR079C,YKR079C,2GS3,C6,,,30,,,,,,
YML029W,USA1,2GS3,C7,,,31,,,,,,
YAL021C,CCR4,2GS3,C8,,,32,,,,,,
YLL034C,YLL034C,2GS3,C9,,,33,,,,,,
YJL087C,TRL1,2GS3,D1,,,37,,,,,,
YDR258C,ORC62,2GS3,D10,1GS7,F5,46,ORC62,,,,,
YBR049C,REB1,2GS3,D11,,,47,,,,,,
YML035C,SMC31,2GS3,D12,1GS7,F6,48,SMC31,,,,,
YJL176C,SWI3,2GS3,D2,,,38,,,,,,
YPL032C,SVL3,2GS3,D3,,,39,,,,,,
YHR205W,SCH9,2GS3,D4,,,40,,,,,,
YHR172W,SPC97,2GS3,D5,,,41,,,,,,
YPL153C,RAD53,2GS3,D6,,,42,,,,,,
YJL102W,MEF2,2GS3,D7,,,43,,,,,,
YJR059W,PTK2,2GS3,D8,,,44,,,,,,
YGR198W,YGR198W,2GS3,D9,,,45,,,,,,
YMR049C,ERB1,2GS3,E1,,,49,,,,,,
YLR319C,BUD6,2GS3,E10,,,58,,,,,,
YFR013W,IOC3,2GS3,E11,,,59,,,,,,
YNR033W,ABZ1,2GS3,E12,,,60,,,,,,
YGL083W,SCY1,2GS3,E2,,,50,,,,,,
YBR058C,UBP14,2GS3,E3,,,51,,,,,,
YLR182W,SWI6,2GS3,E4,,,52,,,,,,
YBR198C,TAF5,2GS3,E5,,,53,,,,,,
YER169W,RPH1,2GS3,E6,,,54,,,,,,
YJL200C,YJL200C,2GS3,E7,,,55,,,,,,
YOR035C,SHE4,2GS3,E8,,,56,,,,,,
YDL060W,TSR1,2GS3,E9,,,57,,,,,,
YAL043C,PTA1,2GS3,F1,,,61,,,,,,
YOL006C,TOP1,2GS3,F10,,,70,,,,,,
YNL224C,YNL224C,2GS3,F11,,,71,,,,,,
YKR027W,WT3,2GS3,F12,1GS7,F7,72,WT3,,,,,
YHR182W,YHR182W,2GS3,F2,,,62,,,,,,
YGR250C,YGR250C,2GS3,F3,,,63,,,,,,
YBR001C,NTH2,2GS3,F4,,,64,,,,,,
YLR277C,YSH1,2GS3,F5,,,65,,,,,,
YER171W,RAD3,2GS3,F6,,,66,,,,,,
YOR165W,SEY1,2GS3,F7,,,67,,,,,,
YLR274W,CDC46,2GS3,F8,,,68,,,,,,
YKL134C,YKL134C,2GS3,F9,,,69,,,,,,
YNL059C,ARP5,2GS3,G1,,,73,,,,,,
YKL054C,DEF1,2GS3,G10,,,82,,,,,,
YPL029W,SUV3,2GS3,G11,,,83,,,,,,
YPR090W,ORC63,2GS3,G12,1GS7,F8,84,ORC63,,,,,
YBR094W,YBR094W,2GS3,G2,,,74,,,,,,
YFR009W,GCN20,2GS3,G3,,,75,,,,,,
YDR001C,NTH1,2GS3,G4,,,76,,,,,,
YLL029W,YLL029W,2GS3,G5,,,77,,,,,,
YDL234C,GYP7,2GS3,G6,,,78,,,,,,
YOR299W,BUD7,2GS3,G7,,,79,,,,,,
YKR024C,DBP7,2GS3,G8,,,80,,,,,,
YMR216C,SKY1,2GS3,G9,,,81,,,,,,
YGR186W,TFG1,2GS3,H1,,,85,,,,,,
YOR156C,SLD21,2GS3,H10,,,94,SLD21,,,,,
YKR018C,WT4,2GS3,H11,1GS7,F10,95,WT4,,,,,
YMR237W,ORC11,2GS3,H12,1GS7,F11,96,ORC11,,,,,
YHR149C,YHR149C,2GS3,H2,,,86,,,,,,
YEL053C,MAK10,2GS3,H3,,,87,,,,,,
YOR001W,RRP6,2GS3,H4,,,88,,,,,,
YMR277W,FCP1,2GS3,H5,,,89,,,,,,
YBR238C,YBR238C,2GS3,H6,1GS7,F9,90,,,,,,
YKL112W,ABF1,2GS3,H7,,,91,,,,,,
YPR141C,KAR3,2GS3,H8,,,92,,,,,,
YKL135C,APL2,2GS3,H9,,,93,,,,,,
