,,,,,
ORF,SGD,PLATE,TAP LOCATION,DISH PLATE LOCATION ,CONTROLS ADDED 
YJL082W_alt,IML2_alt,2GS2,A1,1,
YGL026C_alt,TRP5_alt,2GS2,A10,10,
YLR258W_alt,GSY2_alt,2GS2,A11,11,
YDR221W_alt,YDR221W_alt,2GS2,A12,12,
YKL104C_alt,GFA1_alt,2GS2,A2,2,
YKL213C_alt,DOA1_alt,2GS2,A3,3,
YCR084C_alt,TUP1_alt,2GS2,A4,4,
YGR128C_alt,UTP8_alt,2GS2,A5,5,
YCL057W_alt,PRD1_alt,2GS2,A6,6,
YDR211W_alt,GCD6_alt,2GS2,A7,7,
YOR206W_alt,NOC2_alt,2GS2,A8,8,
YFR015C_alt,GSY1_alt,2GS2,A9,9,
YOR317W_alt,FAA1_alt,2GS2,B1,13,
YIL105C_alt,LIT2_alt,2GS2,B10,22,
YLR399C_alt,BDF1_alt,2GS2,B11,23,
YBL024W_alt,NCL1_alt,2GS2,B12,24,
YDR108W_alt,GSG1_alt,2GS2,B2,14,
YLR452C_alt,SST2_alt,2GS2,B3,15,
YIL009W_alt,FAA3_alt,2GS2,B4,16,
YMR246W_alt,FAA4_alt,2GS2,B5,17,
YBR169C_alt,SSE2_alt,2GS2,B6,18,
YDR234W_alt,LYS4_alt,2GS2,B7,19,
YOR354C_alt,MSC6_alt,2GS2,B8,20,
YMR108W_alt,ILV2_alt,2GS2,B9,21,
YHL029C_alt,YHL029C_alt,2GS2,C1,25,
YLR369W_alt,SSQ1_alt,2GS2,C10,34,
YDR496C_alt,PUF6_alt,2GS2,C11,35,
YPR190C_alt,RPC82_alt,2GS2,C12,36,
YJL101C_alt,GSH1_alt,2GS2,C2,26,
YNL045W_alt,YNL045W_alt,2GS2,C3,27,
YOR138C_alt,YOR138C_alt,2GS2,C4,28,
YKL029C_alt,MAE1_alt,2GS2,C5,29,
YJL010C_alt,YJL010C_alt,2GS2,C6,30,
YDR194C_alt,WT6_alt,2GS2,C7,31,WT6
YLR002C_alt,NOC3_alt,2GS2,C8,32,
YNL197C_alt,WHI3_alt,2GS2,C9,33,
YOR147W_alt,MDM32_alt,2GS2,D1,37,
YAL016W_alt,TPD3_alt,2GS2,D10,46,
YDR380W_alt,ARO10_alt,2GS2,D11,47,
YHR114W_alt,BZZ1_alt,2GS2,D12,48,
YGR083C_alt,GCD2_alt,2GS2,D2,38,
YBL075C_alt,SSA3_alt,2GS2,D3,39,
YPL093W_alt,NOG1_alt,2GS2,D4,40,
YGL107C_alt,RMD9_alt,2GS2,D5,41,
YER049W_alt,YER049W_alt,2GS2,D6,42,
YER103W_alt,SSA4_alt,2GS2,D7,43,
YGL099W_alt,LSG1_alt,2GS2,D8,44,
YDR390C_alt,UBA2_alt,2GS2,D9,45,
YOR181W_alt,LAS17_alt,2GS2,E1,49,
YNL061W_alt,NOP2_alt,2GS2,E10,58,
YMR092C_alt,AIP1_alt,2GS2,E11,59,
YPL184C_alt,YPL184C_alt,2GS2,E12,60,
YPL161C_alt,BEM4_alt,2GS2,E2,50,
YML046W_alt,PRP39_alt,2GS2,E3,51,
YER080W_alt,YER080W_alt,2GS2,E4,52,
YKR008W_alt,RSC4_alt,2GS2,E5,53,
YGL110C_alt,CUE3_alt,2GS2,E6,54,
YMR278W_alt,YMR278W_alt,2GS2,E7,55,
YAR007C_alt,RFA1_alt,2GS2,E8,56,
YNL104C_alt,LEU4_alt,2GS2,E9,57,
YER036C_alt,YER036C_alt,2GS2,F1,61,
YGR246C_alt,BRF1_alt,2GS2,F10,70,
YLR060W_alt,FRS1_alt,2GS2,F11,71,
YJL069C_alt,UTP18_alt,2GS2,F12,72,
YDR341C_alt,YDR341C_alt,2GS2,F2,62,
YML071C_alt,COG8_alt,2GS2,F3,63,
YFL002C_alt,SPB4_alt,2GS2,F4,64,
YML057W_alt,CMP2_alt,2GS2,F5,65,
YOR108W_alt,LEU9_alt,2GS2,F6,66,
YLR055C_alt,SPT8_alt,2GS2,F7,67,
YGL125W_alt,MET13_alt,2GS2,F8,68,
YPL243W_alt,SRP68_alt,2GS2,F9,69,
YLR089C_alt,YLR089C_alt,2GS2,G1,73,
YML070W_alt,DAK1_alt,2GS2,G10,82,
YOL115W_alt,TRF4_alt,2GS2,G11,83,
YLR077W_alt,YLR077W_alt,2GS2,G12,84,
YLR028C_alt,ADE16_alt,2GS2,G2,74,
YDR294C_alt,DPL1_alt,2GS2,G3,75,
YDL174C_alt,DLD1_alt,2GS2,G4,76,
YJL186W_alt,MNN5_alt,2GS2,G5,77,
YMR291W_alt,YMR291W_alt,2GS2,G6,78,
YHL039W_alt,YHL039W_alt,2GS2,G7,79,
YGR292W_alt,MAL12_alt,2GS2,G8,80,
YML013W_alt,SEL1_alt,2GS2,G9,81,
YPL208W_alt,YPL208W_alt,2GS2,H1,85,
YOR090C_alt,PTC5_alt,2GS2,H10,94,
YOR128C_alt,ADE2_alt,2GS2,H11,95,
YDR120C_alt,TRM1_alt,2GS2,H12,96,
YBR170C_alt,NPL4_alt,2GS2,H2,86,
YGL228W_alt,SHE10_alt,2GS2,H3,87,
YER086W_alt,ILV1_alt,2GS2,H4,88,
YHR037W_alt,PUT2_alt,2GS2,H5,89,
YHR196W_alt,UTP9_alt,2GS2,H6,90,
YLL012W_alt,YLL012W_alt,2GS2,H7,91,
YOL027C_alt,MDM38_alt,2GS2,H8,92,
YPR137W_alt,RRP9_alt,2GS2,H9,93,
