ORF,SGD,PLATE,TAP LOCATION,,,DISH PLATE LOCATION ,CONTROLS ADDED ,,,,,,,
YGR134W,CAF130,2GS4,A1,2GS7,D2,1,,,,,,,,
YKL092C,BUD2,2GS4,A10,,,10,,,,,,,,
YMR218C,TRS130,2GS4,A11,,,11,,,,,,,,
YCL061C,MRC1,2GS4,A12,,,12,,,,,,,,
YER176W,ECM32,2GS4,A2,2GS7,D3,2,,,,,,,,
YIL151C,YIL151C,2GS4,A3,2GS7,D4,3,,,,,,,,
YBL101C,WT5,2GS4,A4,,,4,WT5,,,,,,,
YNR067C,DSE4,2GS4,A5,,,5,,,,,,,,
YOL087C,YOL087C,2GS4,A6,,,6,,,,,,,,
YLR383W,RHC18,2GS4,A7,,,7,,,,,,,,
YBL063W,KIP1,2GS4,A8,,,8,,2GS4,A1,CAF130,2GS7,D2,,10%
YGR094W,VAS1,2GS4,A9,,,9,,,A2,ECM32,2GS7,D3,,10%
YBR150C,TBS1,2GS4,B1,2GS7,D5,13,,,A3,YIL151C,2GS7,D4,,10%
YDR291W,YDR291W,2GS4,B10,,,22,,,B1,TBS1,2GS7,D5,,10%
YPR042C,PUF2,2GS4,B11,,,23,,,B8,KIC1,2GS7,D6,,10%
YFL034W,YFL034W,2GS4,B12,,,24,,,C1,MPT5,2GS7,D7,,10%
YER111C,SWI4,2GS4,B2,,,14,,,D1,YKL033W,2GS7,D8,,10%
YOL034W,SMC5,2GS4,B3,,,15,,,D2,KCC4,2GS7,D9,,10%
YJR091C,JSN1,2GS4,B4,,,16,,,E1,RGA2,2GS7,D10,,10%
YPR115W,YPR115W,2GS4,B5,,,17,,,E2,SNU114,2GS7,D11,,10%
YLR071C,RGR1,2GS4,B6,,,18,,,E3,RGA1,2GS7,D12,,10%
YOL051W,GAL11,2GS4,B7,,,19,,,E4,RAT1,2GS7,E1,,10%
YHR102W,ORC64,2GS4,B8,2GS7,D6,20,ORC64,,E5,ISM1,2GS7,E2,,10%
YHR119W,SET1,2GS4,B9,,,21,,,E7,OSH3,2GS7,E3,,10%
YGL178W,MPT5,2GS4,C1,2GS7,D7,25,,,F1,CDC15,2GS7,E4,,10%
YNL014W,HEF3,2GS4,C10,,,34,,,F2,HSH155,2GS7,E5,,10%
YER114C,BOI2,2GS4,C11,,,35,,,F4,MSU1,2GS7,E6,,10%
YEL061C,CIN8,2GS4,C12,,,36,,,G1,MDR1,2GS7,E7,,10%
YIL156W,UBP7,2GS4,C2,,,26,,,G2,STB4,2GS7,E8,,10%
YKR086W,PRP16,2GS4,C3,,,27,,,G3,INP51,2GS7,E9,,10%
YGL013C,PDR1,2GS4,C4,,,28,,,G4,SPC110,2GS7,E10,,10%
YAL051W,OAF1,2GS4,C5,,,29,,,G5,WAR1,2GS7,E11,,10%
YDR310C,SUM1,2GS4,C6,,,30,,,G6,YMR124W,2GS7,E12,,10%
YLR039C,RIC1,2GS4,C7,,,31,,,G9,NNF2,2GS7,F1,,10%
YCR092C,MSH3,2GS4,C8,,,32,,,H3,PDC2,2GS7,F2,,10%
YJL084C,YJL084C,2GS4,C9,,,33,,,H4,CDC13,2GS7,F3,,10%
YKL033W,YKL033W,2GS4,D1,2GS7,D8,37,,,H5,YAT2,2GS7,F4,,10%
YDL240W,LRG1,2GS4,D10,,,46,,,H6,BUL2,2GS7,F5,,10%
YLL031C,GPI13,2GS4,D11,,,47,,,H9,UPC2,2GS7,F6,,10%
YOR349W,CIN1,2GS4,D12,,,48,,,,,,,,
