,,,,,,,
ORF,SGD,PLATE,TAP LOCATION,,,DISH PLATE LOCATION ,CONTROLS ADDED 
YHR056C,RSC30,2GS6,A1,,,1,
YJL141C,YAK1,2GS6,A10,,,10,
YGL139W,,2GS6,A11,,,11,
YER109C,FLO8,2GS6,A12,,,12,
YJL089W,SIP4,2GS6,A2,,,2,
YLR263W,RED1,2GS6,A3,,,3,
YJL051W,,2GS6,A4,,,4,
YJL187C,SWE1,2GS6,A5,,,5,
YDL148C,NOP14,2GS6,A6,,,6,
YOR162C,YRR1,2GS6,A7,,,7,
YER125W,WT6,2GS6,A8,,,8,WT6
YBR276C,PPS1,2GS6,A9,,,9,
YBR284W,YBR284W,2GS6,B1,,,13,
YJL020C,BBC1,2GS6,B10,,,22,
YDR490C,SMC32,2GS6,B11,,,23,SMC32
YOL036W,YOL036W,2GS6,B12,,,24,
YER184C,YER184C,2GS6,B2,,,14,
YGR067C,YGR067C,2GS6,B3,,,15,
YOR178C,GAC1,2GS6,B4,,,16,
YBL113C,YBL113C,2GS6,B5,,,17,
YDL239C,ADY3,2GS6,B6,,,18,
YDR208W,MSS4,2GS6,B7,,,19,
YFL009W,CDC4,2GS6,B8,,,20,
YFR038W,YFR038W,2GS6,B9,,,21,
YJL206C,YJL206C,2GS6,C1,,,25,
YNL144C,YNL144C,2GS6,C10,,,34,
YLL019C,KNS1,2GS6,C11,,,35,
YFR022W,YFR022W,2GS6,C12,,,36,
YKL034W,TUL1,2GS6,C2,,,26,
YBR102C,EXO84,2GS6,C3,,,27,
YLL008W,DRS1,2GS6,C4,,,28,
YJL132W,YJL132W,2GS6,C5,,,29,
YKL187C,YKL187C,2GS6,C6,,,30,
YGL205W,POX1,2GS6,C7,,,31,
YOR080W,DIA2,2GS6,C8,,,32,
YJR030C,YJR030C,2GS6,C9,,,33,
YOR019W,YOR019W,2GS6,D1,,,37,
YLR266C,PDR8,2GS6,D10,,,46,
YBR019C,GAL10,2GS6,D11,,,47,
YDL214C,PRR2,2GS6,D12,,,48,
YNR044W,AGA1,2GS6,D2,,,38,
YCR091W,KIN82,2GS6,D3,,,39,
YPL164C,MLH3,2GS6,D4,,,40,
YHL024W,RIM4,2GS6,D5,,,41,
YHL032C,GUT1,2GS6,D6,,,42,
YGR145W,ENP2,2GS6,D7,,,43,
YGL249W,ZIP2,2GS6,D8,,,44,
YOR365C,YOR365C,2GS6,D9,,,45,
YLR233C,EST1,2GS6,E1,,,49,
YOR054C,VHS3,2GS6,E10,,,58,
YMR008C,PLB1,2GS6,E11,,,59,
YAL048C,GON1,2GS6,E12,,,60,
YHR020W,ORC65,2GS6,E2,,,50,ORC65
YLR047C,YLR047C,2GS6,E3,,,51,
YEL023C,YEL023C,2GS6,E4,,,52,
YPR007C,SPO69,2GS6,E5,,,53,
YGL236C,MTO1,2GS6,E6,,,54,
YKR101W,SIR1,2GS6,E7,,,55,
YMR232W,FUS2,2GS6,E8,,,56,
YBL009W,YBL009W,2GS6,E9,,,57,
YNR008W,LRO1,2GS6,F1,,,61,
YEL030W,ECM10,2GS6,F10,,,70,
YHR091C,MSR1,2GS6,F11,,,71,
YBR280C,YBR280C,2GS6,F12,,,72,
YNL012W,SPO1,2GS6,F2,,,62,
YPL023C,MET12,2GS6,F3,,,63,
YJR045C,SSC1,2GS6,F4,,,64,
YDL224C,WHI4,2GS6,F5,,,65,
YLR273C,ECO12,2GS6,F6,,,66,ECO12
YPL253C,VIK1,2GS6,F7,,,67,
YOL164W,YOL164W,2GS6,F8,,,68,
YJL106W,IME2,2GS6,F9,,,69,
YGR054W,YGR054W,2GS6,G1,,,73,
YHR124W,NDT80,2GS6,G10,,,82,
YHR219W,YHR219W,2GS6,G11,,,83,
YMR119W,ASI1,2GS6,G12,,,84,
YHR218W,YHR218W,2GS6,G2,,,74,
YNL176C,YNL176C,2GS6,G3,,,75,
YGL023C,PIB2,2GS6,G4,,,76,
YLL035W,CLB22,2GS6,G5,,,77,CLB22
YCR061W,YCR061W,2GS6,G6,,,78,
YKL062W,MSN4,2GS6,G7,,,79,
YOL152W,FRE7,2GS6,G8,,,80,
YOR066W,YOR066W,2GS6,G9,,,81,
YOR389W,YOR389W,2GS6,H1,,,85,
YLL004W,RAD534,2GS6,H10,,,94,RAD534
YKR019C,IRS4,2GS6,H11,,,95,
YNL018C,YNL018C,2GS6,H12,,,96,
YOR137C,SIA1,2GS6,H2,,,86,
YDR085C,AFR1,2GS6,H3,,,87,
YJL019W,WT6,2GS6,H4,,,88,WT6
YDL013W,HEX3,2GS6,H5,,,89,
YOR030W,DFG16,2GS6,H6,,,90,
YJL103C,YJL103C,2GS6,H7,,,91,
YKR056W,TRM2,2GS6,H8,,,92,
YGL142C,GPI10,2GS6,H9,,,93,
