,,,,,
ORF,SGD,PLATE,TAP LOCATION,DISH PLATE LOCATION ,CONTROLS ADDED 
YEL046C,GLY1,2GS1,A1,1,
YPL090C,RPS6A,2GS1,A10,10,
YLR420W,URA4,2GS1,A11,11,
YPL081W,RPS9A,2GS1,A12,12,
YLR180W,SAM1,2GS1,A2,2,
YBL032W,HEK2,2GS1,A3,3,
YGL105W,ARC1,2GS1,A4,4,
YHR052W,CIC1,2GS1,A5,5,
YIR034C,LYS1,2GS1,A6,6,
YLR048W,RPS0B,2GS1,A7,7,
YPR035W,GLN1,2GS1,A8,8,
YOR136W,IDH2,2GS1,A9,9,
YDR012W,RPL4B,2GS1,B1,13,
YGR180C,RNR4,2GS1,B10,22,
YPL004C,LSP1,2GS1,B11,23,
YGR086C,PIL1,2GS1,B12,24,
YDL055C,PSA1,2GS1,B2,14,
YCL064C,CHA1,2GS1,B3,15,
YJR139C,HOM6,2GS1,B4,16,
YKL060C,FBA1,2GS1,B5,17,
YBR084C-A,RPL19A,2GS1,B6,18,
YHR025W,THR1,2GS1,B7,19,
YBR181C,RPS6B,2GS1,B8,20,
YHR203C,RPS4B,2GS1,B9,21,
YLR354C,TAL1,2GS1,C1,25,
YPL273W,SAM4,2GS1,C10,34,
YOR096W,RPS7A,2GS1,C11,35,
YDL082W,RPL13A,2GS1,C12,36,
YMR142C,RPL13B,2GS1,C2,26,
YPL111W,CAR1,2GS1,C3,27,
YBR189W,RPS9B,2GS1,C4,28,
YGR192C,TDH3,2GS1,C5,29,
YJL052W,TDH1,2GS1,C6,30,
YJR009C,TDH2,2GS1,C7,31,
YNL301C,RPL18B,2GS1,C8,32,
YJR070C,YJR070C,2GS1,C9,33,
YKR080W,MTD1,2GS1,D1,37,
YLR448W,RPL6B,2GS1,D10,46,
YPL079W,RPL21B,2GS1,D11,47,
YIL133C,RPL16A,2GS1,D12,48,
YDR353W,TRR1,2GS1,D2,38,
YBL027W,RPL19B,2GS1,D3,39,
YML073C,RPL6A,2GS1,D4,40,
YKL216W,URA1,2GS1,D5,41,
YNL063W,YNL063W,2GS1,D6,42,
YGR282C,BGL2,2GS1,D7,43,
YFR004W,RPN11,2GS1,D8,44,
YNL096C,RPS7B,2GS1,D9,45,
YDR233C,RTN1,2GS1,E1,49,
YIL053W,RHR2,2GS1,E10,58,
YHL001W,RPL14B,2GS1,E11,59,
YER177W,BMH1,2GS1,E12,60,
YDR450W,RPS18A,2GS1,E2,50,
YOR362C,WT5,2GS1,E3,51,WT5
YBR011C,IPP1,2GS1,E4,52,
YER023W,PRO3,2GS1,E5,53,
YOR234C,RPL33B,2GS1,E6,54,
YML026C,RPS18B,2GS1,E7,55,
YDR099W,BMH2,2GS1,E8,56,
YLR150W,STM1,2GS1,E9,57,
YHL033C,RPL8A,2GS1,F1,61,
YLR406C,RPL31B,2GS1,F10,70,
YFL034C-A,RPL22B,2GS1,F11,71,
YPR043W,RPL43A,2GS1,F12,72,
YLL045C,RPL8B,2GS1,F2,62,
YLR441C,RPS1A,2GS1,F3,63,
YML063W,RPS1B,2GS1,F4,64,
YLR061W,RPL22A,2GS1,F5,65,
YOR293W,RPS10A,2GS1,F6,66,
YDR050C,TPI1,2GS1,F7,67,
YKL152C,GPM1,2GS1,F8,68,
YNL178W,RPS3,2GS1,F9,69,
YML106W,URA5,2GS1,G1,73,
YNL067W,RPL9B,2GS1,G10,82,
YBR106W,PHO88,2GS1,G11,83,
YJR094W-A,RPL43B,2GS1,G12,84,
YDR226W,ADK1,2GS1,G2,74,
YDR399W,HPT1,2GS1,G3,75,
YGL135W,RPL1B,2GS1,G4,76,
YPL220W,RPL1A,2GS1,G5,77,
YLR287C-A,RPS30A,2GS1,G6,78,
YKL156W,RPS27A,2GS1,G7,79,
YML028W,TSA1,2GS1,G8,80,
YGL147C,RPL9A,2GS1,G9,81,
YGL030W,RPL30,2GS1,H1,85,
YJR104C,SOD1,2GS1,H10,94,
YMR260C,TIF11,2GS1,H11,95,
YNL255C,GIS2,2GS1,H12,96,
YMR242C,RPL20A,2GS1,H2,86,
YHR193C,EGD2,2GS1,H3,87,
YDR418W,RPL12B,2GS1,H4,88,
YEL054C,RPL12A,2GS1,H5,89,
YDR155C,CPR1,2GS1,H6,90,
YLR421C,RPN13,2GS1,H7,91,
YGL031C,RPL24A,2GS1,H8,92,
YGR148C,RPL24B,2GS1,H9,93,
